parti,nuance,1984,,1989,,1994,,1999,,2004,,2009,,2014,,2019,,2024,
,,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges
"Pour l'Europe des gens, contre l'Europe de l'argent 
Parti communiste français et République et socialisme",extremegauche_gaucheradicale,,,,,,,,,,,,,,,"2,49",0,,
"Parti animaliste 
Parti animaliste",autre,,,,,,,,,,,,,,,"2,16",0,,
"Urgence écologie 
Génération écologie, Mouvement écologiste indépendant et Mouvement des progressistes et Union des démocrates et des écologistes",autre,,,,,,,,,,,,,,,"1,82",0,,
"Ensemble pour le Frexit 
Union populaire républicaine",extremedroite_droiteradicale,,,,,,,,,,,,,,,"1,17",0,,
"Lutte ouvrière – contre le grand capital, le camp des travailleurs 
Lutte ouvrière",extremegauche_gaucheradicale,,,,,,,,,,,,,,,"0,78",0,,
"Ensemble Patriotes et Gilets jaunes : pour la France, sortons de l'Union européenne ! 
Les Patriotes",extremedroite_droiteradicale,,,,,,,,,,,,,,,"0,65",0,,
"Alliance jaune, la révolte par le vote 
Sans étiquette",autre,,,,,,,,,,,,,,,"0,54",0,,
"Les oubliés de l'Europe – artisans, commerçants, professions libérales et indépendants – ACPLI 
Coordination nationale des indépendants",autre,,,,,,,,,,,,,,,"0,23",0,,
"Parti pirate 
Parti pirate",autre,,,,,,,,,,,,,,,"0,13",0,,
"Union pour une Europe au service des peuples 
Union des démocrates musulmans français",autre,,,,,,,,,,,,,,,"0,13",0,,
"Espéranto – langue commune équitable pour l'Europe 
Europe Démocratie Espéranto",autre,,,,,,,,,,,,,,,"0,08",0,,
"Parti fédéraliste européen – Pour une Europe qui protège ses citoyens 
Parti fédéraliste européen",autre,,,,,,,,,,,,,,,"0,05",0,,
"Décroissance 2019 
Décroissance Élections",extremegauche_gaucheradicale,,,,,,,,,,,,,,,"0,05",0,,
"Allons enfants 
Allons enfants, le parti de la jeunesse",autre,,,,,,,,,,,,,,,"0,04",0,,
"À voix égales 
Sans étiquette",autre,,,,,,,,,,,,,,,"0,03",0,,
"PACE – Parti des citoyens européens 
Parti des citoyens européens",autre,,,,,,,,,,,,,,,"0,03",0,,
"Mouvement pour l'initiative citoyenne 
Mouvement pour l'initiative citoyenne",autre,,,,,,,,,,,,,,,"0,03",0,,
"Union démocratique pour la liberté, égalité, fraternité (UDLEF) 
Union démocratique pour la liberté, égalité, fraternité",autre,,,,,,,,,,,,,,,"0,02",0,,
"Liste de la reconquête 
Dissidence française",extremedroite_droiteradicale,,,,,,,,,,,,,,,"0,02",0,,
"Une France royale au cœur de l'Europe 
Alliance royale",extremedroite_droiteradicale,,,,,,,,,,,,,,,"0,01",0,,
"Démocratie représentative 
Démocratie représentative",autre,,,,,,,,,,,,,,,"0,01",0,,
"Évolution citoyenne 
Sans étiquette",autre,,,,,,,,,,,,,,,"0,01",0,,
"La ligne claire 
Parti de l'in-nocence et Souveraineté, identité et libertés",autre,,,,,,,,,,,,,,,"0,01",0,,
"Parti révolutionnaire Communistes 
Parti révolutionnaire Communistes",extremegauche_gaucheradicale,,,,,,,,,,,,,,,"0,01",0,,
"Neutre et actif 
Sans étiquette",autre,,,,,,,,,,,,,,,"0,01",0,,
,,,,,,,,,,,,,,,,,,,
"La France revient ! Avec Jordan Bardella et Marine Le Pen 
Rassemblement national, L'Avenir français",extremedroite_droiteradicale,,,,,,,,,,,,,,,,,"31,37",30
"Besoin d’Europe 
Ensemble, Renaissance, Mouvement démocrate, Horizons, Parti radical, Fédération progressiste, Union des démocrates et indépendants, Force européenne démocrate, Convention démocrate, Canal écologiste républicain",centredroite_droite,,,,,,,,,,,,,,,,,"14,6",13
"Réveiller l'Europe 
Place publique, Parti socialiste",centregauche_gauche,,,,,,,,,,,,,,,,,"13,83",13
"La France insoumise – Union populaire 
La France insoumise, Gauche écosocialiste, Parti ouvrier indépendant, Révolution écologique pour le vivant, Péyi-A, Pour La Réunion",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"9,89",9
"La droite pour faire entendre la voix de la France en Europe 
Les Républicains, Les Centristes - Le Nouveau Centre",centredroite_droite,,,,,,,,,,,,,,,,,"7,25",6
"Europe Écologie 
Les Écologistes – EÉLV, Alternative alsacienne",centregauche_gauche,,,,,,,,,,,,,,,,,"5,5",5
"La France fière, menée par Marion Maréchal et soutenue par Éric Zemmour 
Reconquête, Mouvement conservateur",extremedroite_droiteradicale,,,,,,,,,,,,,,,,,"5,47",5
"Gauche unie pour le monde du travail soutenue par Fabien Roussel 
Parti communiste français, Fédération de la gauche républicaine, L'Engagement, Gauche républicaine et socialiste, Mouvement républicain et citoyen, Les Radicaux de gauche, Parti communiste réunionnais, Humains et dignes, Parti communiste martiniquais",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"2,36",0
"Alliance rurale 
Résistons",autre,,,,,,,,,,,,,,,,,"2,35",0
"Parti animaliste – Les animaux comptent, votre voix aussi 
Parti animaliste",autre,,,,,,,,,,,,,,,,,2,0
"Écologie au centre 
Écologie au centre, Égalité Europe Écologie, Régions unies d'Europe, Génération animal, Jeunes Ecqo, La France autrement",centre,,,,,,,,,,,,,,,,,"1,28",0
"Liste Asselineau-Frexit, pour le pouvoir d'achat et pour la paix 
Union populaire républicaine",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"1,02",0
